title,price,url
"Opel Meriva
1.8-Panorama Dach-Navi!!",,https://www.autoscout24.com/offers/opel-meriva-1-8-panorama-dach-navi-gasoline-silver-99ecc6f8-3293-4380-a35a-46aa36628745
"Renault Twingo
1.2 Authentique,Servo,Faltdach,Tüv 11/25",,https://www.autoscout24.com/offers/renault-twingo-1-2-authentique-servo-faltdach-tuev-11-25-gasoline-black-84d3aaf6-89c2-426c-8b15-653b69cecbe1
"Renault Twingo
Paris,Klima, Allwetterreifen , Zahnriemen Neuw.",,https://www.autoscout24.com/offers/renault-twingo-paris-klima-allwetterreifen-zahnriemen-neuw-gasoline-white-c4769d38-7a88-4e5b-a965-2b6c6353e992
"Jeep Grand Cherokee
3.0 CRD Overland / Motorschaden /",,https://www.autoscout24.com/offers/jeep-grand-cherokee-3-0-crd-overland-motorschaden-diesel-black-d4093e9e-9b10-4212-a6ac-31ee27ca892d
"Audi A4
Lim. 1.9 TDI 1.Hand Klimaautom. Anängerkuppl.",,https://www.autoscout24.com/offers/audi-a4-lim-1-9-tdi-1-hand-klimaautom-anaengerkuppl-diesel-green-af299753-eae0-41a0-af1c-c149d6f3348f
"BMW 116
i Lim. 5-trg.",,https://www.autoscout24.com/offers/bmw-116-i-lim-5-trg-gasoline-grey-0a552dbf-508a-476b-a81f-d7b45e0162b1
"Skoda Octavia
Octavia Combi 1.6 TDI Green tec Ambition",,https://www.autoscout24.com/offers/skoda-octavia-octavia-combi-1-6-tdi-green-tec-ambition-diesel-5aab5cb3-6464-43ff-b980-af305c0a40d4
"Skoda Yeti
1.2 TSI Ambition Navi PDC Sitzhz",,https://www.autoscout24.com/offers/skoda-yeti-1-2-tsi-ambition-navi-pdc-sitzhz-gasoline-black-564af675-b947-4559-83f1-a86745536048
"Volkswagen Golf Variant
1.6 TDI DPF Comfortline",,https://www.autoscout24.com/offers/volkswagen-golf-variant-1-6-tdi-dpf-comfortline-diesel-black-ef7aaf2d-f6e6-4653-8f0a-4e07c043de7b
"Opel Corsa
C 1.8 Sport *92KW/125PS*KLIMA*15-ZOLL*",,https://www.autoscout24.com/offers/opel-corsa-c-1-8-sport-92kw-125ps-klima-15-zoll-gasoline-blue-67a5afb2-eb98-4e27-ab47-bc9eb8027c31
"Volkswagen up!
*KLIMAANLAGE*",,https://www.autoscout24.com/offers/volkswagen-up-klimaanlage-gasoline-white-235f4908-e060-43c4-a05a-a0923bcf18d2
"Peugeot 207
CC 1.6 HDI Allure *2.HAND*LEDER*KLIMAAUTOMATIK",,https://www.autoscout24.com/offers/peugeot-207-cc-1-6-hdi-allure-2-hand-leder-klimaautomatik-diesel-white-4734d805-5623-42dd-bec8-1db0b20d27bb
"Volkswagen Passat Variant
Passat Var. 2.0d EU6+PANO+STDHZ+MEMO+XEN+NAV 510",,https://www.autoscout24.com/offers/volkswagen-passat-variant-passat-var-2-0d-eu6-pano-stdhz-memo-xen-nav-510-diesel-black-19c8ea4b-57c9-4788-8a5d-e2607793db0c
"Volkswagen Golf
V Lim. Tour",,https://www.autoscout24.com/offers/volkswagen-golf-v-lim-tour-gasoline-grey-2ee888f8-b23a-49bb-852b-14330af0e85a
"Land Rover Discovery
V6 TD S/ 7 -SIZTER Export",,https://www.autoscout24.com/offers/land-rover-discovery-v6-td-s-7-sizter-export-diesel-grey-70cd98b6-bf53-4a3c-8a44-8f97306abef4
"Dacia Dokker
TCe 115 Laureate",,https://www.autoscout24.com/offers/dacia-dokker-tce-115-laureate-gasoline-blue-edbb6d1d-a914-48e6-962f-207b6b47f2e6
"Ford S-Max
Titanium*Automatik*Navi*SZH*PDC vo+hi*Bi-Xenon*",,https://www.autoscout24.com/offers/ford-s-max-titanium-automatik-navi-szh-pdc-vo-hi-bi-xenon-diesel-f5eda8d6-ba18-4b70-b9ee-956f81bc3330
"Volkswagen Golf Plus
V 2.0TDI Comf NAVI+XEN+SHZ+TEM+PDC+AHK",,https://www.autoscout24.com/offers/volkswagen-golf-plus-v-2-0tdi-comf-navi-xen-shz-tem-pdc-ahk-diesel-black-6e287a17-baa2-4942-9eb2-c427769e4799
"Skoda Superb
1.8T",,https://www.autoscout24.com/offers/skoda-superb-1-8t-gasoline-grey-8997ece6-d701-4a00-9369-b5289ccb32d1
"Renault Twingo
1.2 Authentique,Servo,Faltdach,Tüv 11/25",,https://www.autoscout24.com/offers/renault-twingo-1-2-authentique-servo-faltdach-tuev-11-25-gasoline-black-84d3aaf6-89c2-426c-8b15-653b69cecbe1
"BMW 118
i /Advantage/Xenon/MuFu",,https://www.autoscout24.com/offers/bmw-118-i-advantage-xenon-mufu-gasoline-black-6258deb6-ecb8-4c56-9d0a-f558d5c5d745
"Hyundai i30
FIFA WM Edition ""1-HAND-KLIMA-SITZH-MULTI""",,https://www.autoscout24.com/offers/hyundai-i30-fifa-wm-edition-1-hand-klima-sitzh-multi-gasoline-white-8986159e-c25a-473e-9a92-ebb0f46e6edc
"BMW 320
d Xenon Head-Up Navi Temp BT-Audio SHZ",,https://www.autoscout24.com/offers/bmw-320-d-xenon-head-up-navi-temp-bt-audio-shz-diesel-black-572f730e-36f6-4083-95ef-4b4797d3ce1e
"Volkswagen Scirocco
1.4 TSI 118 kW",,https://www.autoscout24.com/offers/volkswagen-scirocco-1-4-tsi-118-kw-gasoline-silver-7b85ee30-29bb-4be0-a652-d00272f756a0
"SEAT Ibiza
SC Style Salsa NAVI KLIMA SITZHEIZUNG",,https://www.autoscout24.com/offers/seat-ibiza-sc-style-salsa-navi-klima-sitzheizung-gasoline-white-b49ccf8d-4158-4856-807b-fe80593cd21c
"Chevrolet Orlando
LT ** 7 Sitze ** Aut AHK Bluetooth",,https://www.autoscout24.com/offers/chevrolet-orlando-lt-7-sitze-aut-ahk-bluetooth-diesel-grey-2f073839-3dc8-4b5f-9166-420ae81d7ac6
"Renault Modus
Cite",,https://www.autoscout24.com/offers/renault-modus-cite-gasoline-red-a8fbf7cc-8dd1-4106-b3c8-81dd847e147a
"smart forTwo
MHD*Klima*Pano*Navi*Telefon*Automatik*",,https://www.autoscout24.com/offers/smart-fortwo-mhd-klima-pano-navi-telefon-automatik-gasoline-silver-17b7092d-6113-45aa-9a17-818e320ed5f2
"Volkswagen T-Roc
Basis*PDC*Klima*Scheckheft*1.Hand*",,https://www.autoscout24.com/offers/volkswagen-t-roc-basis-pdc-klima-scheckheft-1-hand-gasoline-black-6689ad4a-bb01-4f5d-a06b-d24527a0040d
"Subaru Forester
Edition Schiebedach Scheckheft unfallfr",,https://www.autoscout24.com/offers/subaru-forester-edition-schiebedach-scheckheft-unfallfr-diesel-silver-e301d082-e8ae-44d5-878f-06e22b4c6ea8
"Opel Crossland
1.2 Business Elegance Navi+LED+R-Kam+AGR+",,https://www.autoscout24.com/offers/opel-crossland-1-2-business-elegance-navi-led-r-kam-agr-gasoline-white-467e7bc8-7cfc-4a49-b831-b9045956e056
"Volkswagen up!
high up! BMT *KLIMA*SZHZ*TÜV-01/2026*",,https://www.autoscout24.com/offers/volkswagen-up-high-up-bmt-klima-szhz-tuev-01-2026-gasoline-blue-03925888-39a8-4de4-a6d2-734424ae2d54
"Volkswagen T5 Multivan
*Comfortline*Navi*AHK*",,https://www.autoscout24.com/offers/volkswagen-t5-multivan-comfortline-navi-ahk-diesel-silver-6a3f80e0-a3a8-468c-b1fc-0b05d863ace8
"Skoda Superb
Ambition 4x4 |TEMPO.|PDC|SHZ|16 ALU",,https://www.autoscout24.com/offers/skoda-superb-ambition-4x4-tempo-pdc-shz-16-alu-gasoline-beige-eaf04bab-ff13-475e-b2f0-a730ebd69843
"Peugeot 2008
Allure *1.Hand*R.Kamera*Bluetooth*",,https://www.autoscout24.com/offers/peugeot-2008-allure-1-hand-r-kamera-bluetooth-gasoline-black-4833888b-0e4b-4d53-9a17-547bc6c5caed
"Citroen C3
Citroen C3",,https://www.autoscout24.com/offers/citroen-c3-citroen-c3-gasoline-beige-5f8c2935-df28-48de-a1c0-8a99acc4b677
"BMW 320
Baureihe 3 Cabrio 320d",,https://www.autoscout24.com/offers/bmw-320-baureihe-3-cabrio-320d-diesel-grey-07cfc2ca-6b89-403b-9ca5-b61a11f6f781
"Volkswagen Polo
V Match Klima/Bi-Xenon/Panorama/Sitzhz/Alu",,https://www.autoscout24.com/offers/volkswagen-polo-v-match-klima-bi-xenon-panorama-sitzhz-alu-gasoline-white-5f1cbafe-d9c5-4c4f-9fc7-bda4ad47377e
"Volkswagen up!
UP! KLIMA GLASDACH TÜV+SERV NEU GANZJAHRESREIFEN",,https://www.autoscout24.com/offers/volkswagen-up-up-klima-glasdach-tuev-serv-neu-ganzjahresreifen-gasoline-blue-393eaaed-9976-444e-8fcb-a3a73d72ebc1
